Region/Country/Area,Country/Area name,Year,Variables,Public expenditure on education (as of 2021)
528,Netherlands (Kingdom of the),2022,Basic access to computers by level of education: Primary,100.0
528,Netherlands (Kingdom of the),2022,Basic access to computers by level of education: Lower secondary,100
528,Netherlands (Kingdom of the),2022,Basic access to computers by level of education: Upper secondary,100
554,New Zealand,2015,Basic access to computers by level of education: Primary,98.5
554,New Zealand,2021,Basic access to computers by level of education: Primary,96.3
558,Nicaragua,2002,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),10.7
558,Nicaragua,2002,All staff compensation as % of total expenditure in public institutions (%),80.1
558,Nicaragua,2002,Capital expenditure as % of total expenditure in public institutions (%),9.2
558,Nicaragua,2004,Capital expenditure as % of total expenditure in public institutions (%),11.7
558,Nicaragua,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),10.7
558,Nicaragua,2010,All staff compensation as % of total expenditure in public institutions (%),46.2
558,Nicaragua,2010,Capital expenditure as % of total expenditure in public institutions (%),11.4
558,Nicaragua,2010,Basic access to computers by level of education: Primary,6.2
558,Nicaragua,2010,Basic access to computers by level of education: Lower secondary,33
558,Nicaragua,2013,Basic access to computers by level of education: Primary,16.2
558,Nicaragua,2022,Basic access to computers by level of education: Primary,17.3
558,Nicaragua,2022,Basic access to computers by level of education: Lower secondary,0
558,Nicaragua,2022,Basic access to computers by level of education: Upper secondary,38
562,Niger,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.2
562,Niger,2010,All staff compensation as % of total expenditure in public institutions (%),77.9
562,Niger,2010,Capital expenditure as % of total expenditure in public institutions (%),7.9
562,Niger,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.3
562,Niger,2013,All staff compensation as % of total expenditure in public institutions (%),66.0
562,Niger,2013,Capital expenditure as % of total expenditure in public institutions (%),18.8
562,Niger,2013,Basic access to computers by level of education: Lower secondary,4
562,Niger,2013,Basic access to computers by level of education: Upper secondary,23
562,Niger,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),31.8
562,Niger,2015,All staff compensation as % of total expenditure in public institutions (%),56.3
562,Niger,2015,Capital expenditure as % of total expenditure in public institutions (%),11.9
562,Niger,2015,Basic access to computers by level of education: Primary,5.8
562,Niger,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.8
562,Niger,2017,All staff compensation as % of total expenditure in public institutions (%),71.8
562,Niger,2017,Capital expenditure as % of total expenditure in public institutions (%),2.4
562,Niger,2017,Basic access to computers by level of education: Primary,2.0
562,Niger,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),94.4
562,Niger,2018,Capital expenditure as % of total expenditure in public institutions (%),0.8
562,Niger,2018,Basic access to computers by level of education: Primary,2.0
562,Niger,2021,Basic access to computers by level of education: Primary,2.0
562,Niger,2021,Basic access to computers by level of education: Lower secondary,27
562,Niger,2021,Basic access to computers by level of education: Upper secondary,55
570,Niue,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),10.3
570,Niue,2016,All staff compensation as % of total expenditure in public institutions (%),89.7
570,Niue,2016,Basic access to computers by level of education: Primary,100.0
570,Niue,2016,Basic access to computers by level of education: Lower secondary,100
570,Niue,2016,Basic access to computers by level of education: Upper secondary,100
570,Niue,2022,Basic access to computers by level of education: Primary,100.0
570,Niue,2022,Basic access to computers by level of education: Lower secondary,100
570,Niue,2022,Basic access to computers by level of education: Upper secondary,100
807,North Macedonia,2002,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),10.8
807,North Macedonia,2002,All staff compensation as % of total expenditure in public institutions (%),87.1
807,North Macedonia,2002,Capital expenditure as % of total expenditure in public institutions (%),2.1
807,North Macedonia,2021,Basic access to computers by level of education: Primary,88.3
578,Norway,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.4
578,Norway,2005,All staff compensation as % of total expenditure in public institutions (%),66.9
578,Norway,2005,Capital expenditure as % of total expenditure in public institutions (%),10.7
578,Norway,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.3
578,Norway,2010,All staff compensation as % of total expenditure in public institutions (%),67.4
578,Norway,2010,Capital expenditure as % of total expenditure in public institutions (%),11.3
578,Norway,2010,Basic access to computers by level of education: Primary,100.0
578,Norway,2010,Basic access to computers by level of education: Lower secondary,100
578,Norway,2010,Basic access to computers by level of education: Upper secondary,100
578,Norway,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.1
578,Norway,2015,All staff compensation as % of total expenditure in public institutions (%),69.7
578,Norway,2015,Capital expenditure as % of total expenditure in public institutions (%),12.3
578,Norway,2015,Basic access to computers by level of education: Primary,100.0
578,Norway,2015,Basic access to computers by level of education: Lower secondary,100
578,Norway,2015,Basic access to computers by level of education: Upper secondary,100
578,Norway,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.8
578,Norway,2020,All staff compensation as % of total expenditure in public institutions (%),70.4
578,Norway,2020,Capital expenditure as % of total expenditure in public institutions (%),12.8
578,Norway,2020,Basic access to computers by level of education: Primary,100.0
578,Norway,2020,Basic access to computers by level of education: Lower secondary,100
578,Norway,2020,Basic access to computers by level of education: Upper secondary,100
578,Norway,2022,Basic access to computers by level of education: Primary,100.0
578,Norway,2022,Basic access to computers by level of education: Lower secondary,100
578,Norway,2022,Basic access to computers by level of education: Upper secondary,100
512,Oman,2002,Capital expenditure as % of total expenditure in public institutions (%),14.4
512,Oman,2011,Basic access to computers by level of education: Primary,100.0
512,Oman,2011,Basic access to computers by level of education: Lower secondary,100
512,Oman,2011,Basic access to computers by level of education: Upper secondary,100
512,Oman,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.7
512,Oman,2013,All staff compensation as % of total expenditure in public institutions (%),67.6
